ArrivalRate,device_write,cpus,memory,cpuLoad,Throughput,ResponseTime
10,10mb,0.5,500m,350,10,2.2
10,10mb,0.5,500m,400,10,1.7
10,10mb,0.5,500m,450,10,1.8
10,10mb,0.5,500m,500,10,1.1
10,10mb,0.5,500m,350,10,1.4
10,10mb,0.5,500m,400,10,2
10,10mb,0.5,500m,450,10,1.1
10,10mb,0.5,500m,500,10,1.1
10,10mb,0.5,500m,350,10,1.7
10,10mb,0.5,500m,400,10,1.4
10,10mb,0.5,500m,450,10,2
10,10mb,0.5,500m,500,10,1.6
10,10mb,0.5,500m,350,10,1.5
10,10mb,0.5,500m,400,10,1.8
10,10mb,0.5,500m,450,10,1.2
10,10mb,0.5,500m,500,10,1.5
10,10mb,0.5,500m,350,10,3.6
10,10mb,0.5,500m,400,10,2.8
10,10mb,0.5,500m,450,10,1.8
10,10mb,0.5,500m,500,10,1.2
10,10mb,0.5,500m,350,10,1.2
10,10mb,0.5,500m,400,10,1.3
10,10mb,0.5,500m,450,10,1.3
10,10mb,0.5,500m,500,10,1.6
10,10mb,0.5,500m,350,10,1.2
10,10mb,0.5,500m,400,10,1.5
10,10mb,0.5,500m,450,10,1.5
10,10mb,0.5,500m,500,10,1.5
10,10mb,0.5,500m,350,10,5.1
10,10mb,0.5,500m,400,10,1.7
10,10mb,0.5,500m,450,10,1
10,10mb,0.5,500m,500,10,3.3
10,10mb,0.5,500m,350,10,1.1
10,10mb,0.5,500m,400,10,1.5
10,10mb,0.5,500m,450,10,2.1
10,10mb,0.5,500m,500,10,1.7
10,10mb,0.5,500m,350,10,1.6
10,10mb,0.5,500m,400,10,3.2
10,10mb,0.5,500m,450,10,1.6
10,10mb,0.5,500m,500,10,1.1
10,10mb,0.5,500m,350,10,1.2
10,10mb,0.5,500m,400,10,1
10,10mb,0.5,500m,450,10,1.4
10,10mb,0.5,500m,500,10,1.2
10,10mb,0.5,500m,350,10,1
10,10mb,0.5,500m,400,10,1.2
10,10mb,0.5,500m,450,10,1.7
10,10mb,0.5,500m,500,10,1.7
10,10mb,0.5,500m,350,10,1.9
10,10mb,0.5,500m,400,10,1.7
10,10mb,0.5,500m,450,10,1.6
10,10mb,0.5,500m,500,10,1.2
10,10mb,0.5,500m,350,10,1.1
10,10mb,0.5,500m,400,10,1.6
10,10mb,0.5,500m,450,10,1.7
10,10mb,0.5,500m,500,10,1.1
10,10mb,0.5,500m,350,10,1.4
10,10mb,0.5,500m,400,10,3.4
10,10mb,0.5,500m,450,10,1.2
10,10mb,0.5,500m,500,10,1.2
20,10mb,0.5,500m,350,20,1.3
20,10mb,0.5,500m,400,20,1.4
20,10mb,0.5,500m,450,20,1.4
20,10mb,0.5,500m,500,20,1.4
20,10mb,0.5,500m,350,20,2.5
20,10mb,0.5,500m,400,20,1.2
20,10mb,0.5,500m,450,20,2.5
20,10mb,0.5,500m,500,20,1.7
20,10mb,0.5,500m,350,20,1.5
20,10mb,0.5,500m,400,20,1.6
20,10mb,0.5,500m,450,20,1.4
20,10mb,0.5,500m,500,20,1.4
20,10mb,0.5,500m,350,20,2.6
20,10mb,0.5,500m,400,20,1.3
20,10mb,0.5,500m,450,20,1.3
20,10mb,0.5,500m,500,20,2.3
20,10mb,0.5,500m,350,20,2.9
20,10mb,0.5,500m,400,20,1.2
20,10mb,0.5,500m,450,20,1.4
20,10mb,0.5,500m,500,20,1.2
20,10mb,0.5,500m,350,20,1.3
20,10mb,0.5,500m,400,20,1.4
20,10mb,0.5,500m,450,20,4.7
20,10mb,0.5,500m,500,20,1.3
20,10mb,0.5,500m,350,20,1.3
20,10mb,0.5,500m,400,20,2.5
20,10mb,0.5,500m,450,20,1.4
20,10mb,0.5,500m,500,20,1.4
20,10mb,0.5,500m,350,20,1.4
20,10mb,0.5,500m,400,20,1.5
20,10mb,0.5,500m,450,20,2.9
20,10mb,0.5,500m,500,20,2.5
20,10mb,0.5,500m,350,20,2.8
